vEquipment Category;Equipment Name and Model;OEM / Manufacturer;Serial Number;Last Calibration Date;Calibration Expiry Date;Certificate;Calibration Status;Notes
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401248303;2025/07/07;2026/07/07;CO7-202503;Valid;
Vibration Analysis;Agilent 33210A;Emerson;B2140140918;2025/09/23;2026/01/23;MHM-97905-PBF;Expired;
Laser Alignment;Fixturlaser M3;Fixturlaser South Africa (Pty) Ltd;87984;2024/04/29;2025/04/29;87984-20240429;Expired;
Laser Alignment;Fixturlaser M3;Fixturlaser South Africa (Pty) Ltd;87986;2024/04/29;2025/04/29;87986-20240429;Expired;
Laser Alignment;Fixturlaser M3;Fixturlaser South Africa (Pty) Ltd;87988;2024/04/29;2025/04/29;87988-20240429;Expired;
Laser Alignment;Fixturlaser S3;Fixturlaser South Africa (Pty) Ltd;97984;2024/04/29;2025/04/29;97984-20240429;Expired;
Laser Alignment;Fixturlaser S3;Fixturlaser South Africa (Pty) Ltd;97986;2024/04/29;2025/04/29;97986-20240429;Expired;
Laser Alignment;Fixturlaser S3;Fixturlaser South Africa (Pty) Ltd;97988;2024/04/29;2025/04/29;97988-20240429;Expired;
Thermal Equipment;Flir E8;Flir;63945556;2024/10/21;2025/10/21;131315-2;Expired;
Thermal Equipment;Flir E54;Flir;845009095;2024/12/11;2025/12/11;131508-1;Expired;
Thermal Equipment;Flir E54;Flir;84508577;2024/10/21;2025/10/21;131315-1;Expired;
Vibration Analysis;Portable Vibration Calibrator 9110D;The Modal Shop;11755;2025/11/12;2026/11/12;2649.01;Valid;
